"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","version","optimization","time"
"446","233",446,"233.1","512","16","3.7.0","O1",""
"447","148",447,"148.1","1448","1","3.9.0","O0",""
"448","240",448,"240.1","1448","32","3.7.0","O1",""
"449","420",449,"420.1","1448","4","3.7.1","O2",""
"450","132",450,"132.1","1448","4","3.8.1","O0",""
"451","468",451,"468.1","1448","4","3.8.1","O2",""
"452","315",452,"315.1","1024","1","3.9.0","O1",""
"453","328",453,"328.1","1448","8","3.9.0","O1",""
"454","529",454,"529.1","512","1","3.6.2","O3",""
"455","442",455,"442.1","724","4","3.8.0","O2",""
"456","57",456,"57.1","512","4","3.7.0","O0",""
"457","589",457,"589.1","512","8","3.7.1","O3",""
"458","467",458,"467.1","1024","4","3.8.1","O2",""
"459","450",459,"450.1","724","16","3.8.0","O2",""
"460","278",460,"278.1","724","8","3.8.0","O1",""
"461","182",461,"182.1","724","8","3.5.1","O1",""
"462","139",462,"139.1","1024","16","3.8.1","O0",""
"463","472",463,"472.1","1448","8","3.8.1","O2",""
"464","531",464,"531.1","1024","1","3.6.2","O3",""
"465","495",465,"495.1","1024","8","3.9.0","O2",""
"466","444",466,"444.1","1448","4","3.8.0","O2",""
"467","296",467,"296.1","1448","2","3.8.1","O1",""
"468","159",468,"159.1","1024","8","3.9.0","O0",""
"469","162",469,"162.1","724","16","3.9.0","O0",""
"470","67",470,"67.1","1024","16","3.7.0","O0",""
"471","39",471,"39.1","1024","8","3.6.2","O0",""
"472","117",472,"117.1","512","32","3.8.0","O0",""
"473","199",473,"199.1","1024","2","3.6.2","O1",""
"474","416",474,"416.1","1448","2","3.7.1","O2",""
"475","264",475,"264.1","1448","32","3.7.1","O1",""
"476","268",476,"268.1","1448","1","3.8.0","O1",""
"477","446",477,"446.1","724","8","3.8.0","O2",""
"478","350",478,"350.1","724","8","3.5.1","O2",""
"479","466",479,"466.1","724","4","3.8.1","O2",""
"480","470",480,"470.1","724","8","3.8.1","O2",""
"481","441",481,"441.1","512","4","3.8.0","O2",""
"482","87",482,"87.1","1024","8","3.7.1","O0",""
"483","266",483,"266.1","724","1","3.8.0","O1",""
"484","300",484,"300.1","1448","4","3.8.1","O1",""
"485","169",485,"169.1","512","1","3.5.1","O1",""
"486","203",486,"203.1","1024","4","3.6.2","O1",""
"487","650",487,"650.1","724","1","3.9.0","O3",""
"488","671",488,"671.1","1024","32","3.9.0","O3",""
"489","528",489,"528.1","1448","32","3.5.1","O3",""
"490","93",490,"93.1","512","32","3.7.1","O0",""
"491","111",491,"111.1","1024","8","3.8.0","O0",""
"492","144",492,"144.1","1448","32","3.8.1","O0",""
"493","659",493,"659.1","1024","4","3.9.0","O3",""
"494","198",494,"198.1","724","2","3.6.2","O1",""
"495","595",495,"595.1","1024","16","3.7.1","O3",""
"496","75",496,"75.1","1024","1","3.7.1","O0",""
"497","626",497,"626.1","724","1","3.8.1","O3",""
"498","100",498,"100.1","1448","1","3.8.0","O0",""
"499","654",499,"654.1","724","2","3.9.0","O3",""
